mistake,correct
眼覺高,眼角高
睇諒,體諒
瞬速,迅速
矛山,茅山
矯型,矯形
磨煉,磨練
磨菇,蘑菇
示乎,視乎
神喻,神諭
神績,神跡 神蹟
禁欲,禁慾
秦始王,秦始皇
移值,移植
程況,情況
究境,究竟
空範,空泛
等錢駛,等錢使
答的,搭的
答複,答覆
答車,搭車
節墮,折墮
節衷,折衷
簡水,梘水 鹼水
籃籌,藍籌
籃色,藍色
籍口,藉口
籍此,藉此
粗囗,粗口
紀祿,紀錄
紀綠,紀錄
納喊,吶喊
紙扎,紙紮
累績,累積
細致,細緻
終于,終於
經曆,經歷
綜緩,綜援
編幅,篇幅
緩交,援交
練金術,煉金術 鍊金術
縮少,縮小
縱欲,縱慾
縱觀,綜觀
總制,總掣
繁囂,煩囂
續步,逐步
續漸,逐漸
纏擾,纏繞
缺裂,決裂
羅白糕,蘿蔔糕
羅輯,邏輯
美州,美洲
翠肉瓜,翠玉瓜
翻大陸,返大陸
翻學,返學
翻工,返工
耐何,奈何
聊交嗌,撩交嗌
聊交打,撩交打
聚舊,敘舊
聚落,墜落
肉博,肉搏
肚柯,肚屙 肚痾
肥糕,肥膏
背付,背負
背境,背景
背殼,貝殼
背隻,背脊
胡塗,糊塗
胡鬚,鬍鬚
脈博,脈搏
脈膊,脈搏
脈落,脈絡
腳制,腳掣
腳指公,腳趾公
膚衍,敷衍
膽少,膽小
自悲,自卑
舒壓,紓壓
舒情,抒情
舒發,抒發
舒解,紓解
色欲,色慾
草猛,草蜢
草議,草擬
荒凉,荒涼
荒失失,慌失失
荒無,荒蕪
荷理活,荷里活
蓮偶,蓮藕
藍球,籃球
藍球場,籃球場
蘑姑,蘑菇
蘿白,蘿蔔
蘿白糕,蘿蔔糕
虛疑,虛擬
蚊支,蚊滋 蚊螆
蚊枝,蚊滋 蚊螆
蝙幅,蝙蝠
融恰,融洽
衝激,衝擊
製做,製造
製度,制度
製服,制伏 制服
複制,複製
襯熱鬧,趁熱鬧
西利,犀利
覆雜,複雜
規舉,規矩
視光司,視光師
視符,視乎
親蜜,親密
角式,各式 角色
解析,解釋
觸目,矚目
訂做,訂造
訂制,訂製
訓街,瞓街
訓身,瞓身
訓過龍,瞓過龍
註意力,注意力
評擊,抨擊
詳和,祥和
誠認,承認
説慌,説謊
謀利,牟利
證狀,症狀
警剔,警惕
讚助,贊助
讚同,贊同
讚成,贊成
豆付,豆腐
象征,象徵
豪子,毫子
資曆,資歷
資詢,諮詢
賭搏,賭博
贊揚,讚揚
贊歎,讚歎
贊賞,讚賞
起馬,起碼
跟據,根據
跟本,根本
跡像,跡象
路宿,露宿
跳制,跳掣
踪跡,蹤跡
輔加,附加
輪回,輪迴
輯拿,緝拿
輯毒,緝毒
輯毒犬,緝毒犬
轉灣,轉彎
辦工,辦公
辦工室,辦公室
辦演,扮演
辯認,辨認
辯識,辨識
農歷,農曆
迅間,瞬間
返公,返工
返炒,翻炒
逆景,逆境
逐部,逐步
通漲,通脹
通輯,通緝
通霄,通宵
造形,造型
造愛,做愛
造文章,做文章
週街,周街
進帳,進賬
進註,進駐
進身,晉身
遊擊,游擊
遊水,游水
遊盪,遊蕩
遊輪,郵輪
遊離,游離
遊雲,遊魂
遍布,遍佈
達至,達致
違忘,遺忘
違棄,遺棄
違留,遺留
遙言,謠言
遣責,譴責
遮暇,遮瑕
遮閉,遮蔽
遺反,違反
遺和,違和
遺和感,違和感
遺約,違約
遺霜,遺孀
還完,還原
邊道,邊度
邏緝,邏輯
邏船槳,螺旋槳
鄉伸,鄉紳
醒小小,醒少少
醜角,丑角
采取,採取
采訪,採訪
銅羅灣,銅鑼灣
鋒茫,鋒芒
鋼根,鋼筋
鍛練,鍛煉 鍛鍊
鎖碎,瑣碎
鎮懾,震懾
鐘情,鍾情
鐘意,中意 鍾意
鐵打,跌打
鑽介,鑽戒
長方型,長方形
長沙環,長沙灣
開托,開拓
開關制,開關掣
關系,關係
防御,防禦
防避,防備
阿根庭,阿根廷
阿聯油,阿聯酋
阿聯猶,阿聯酋
附出,付出
附助,輔助
附馬,駙馬
陪育,培育
陪訓,培訓
陪養,培養
障外,障礙
隱型,隱形
隱悔,隱晦
隱閉,隱蔽
雜志,雜誌
雞俾,雞肶 雞髀
雞脾,雞肶 雞髀
零晨,凌晨
電制,電掣
電池爐,電磁爐
電迅,電訊
需知,須知
震壓,鎮壓
震奮,振奮
震定,鎮定
震攝,震懾
震災,賑災
靜俏俏,靜悄悄
非州,非洲
領使,領事
領士館,領事館
頭淡湯,頭啖湯
題問,提問
題示,提示
類形,類型
類積,累積
顧主,僱主
顧傭兵,僱傭兵
飛標,飛鏢
飛機司,飛機師
食咋糊,食詐糊
食炸糊,食詐糊
馬安山,馬鞍山
駁同情,博同情
駐扎,駐紮
駛費,使費
骨格,骨骼
體量,體諒
高鋒,高峯 高峰
髮形,髮型
髮形師,髮型師
鴨利洲,鴨脷洲
鼓厲,鼓勵
鼻寒,鼻鼾
鼻寒聲,鼻鼾聲
龍卷風,龍捲風
㩒制,㩒掣
追咎,追究
修詞,修辭
付責,負責
勾二嫂,勾義嫂
召募,招募
剌激,刺激
兇宅,凶宅
折墜,折墮
拍擋,拍檔
掘起,崛起
改篇,改編
恰著,瞌着
腦筍,腦囟
鼓油,豉油
興過火屎,㷫過火屎
一塌胡塗,一塌糊塗
一凡風順,一帆風順
一箱情願,一廂情願
一霜情願,一廂情願
一日到刻,一日到黑
一慨而論,一概而論
一無一樣,一模一樣
一譚死水,一潭死水
一無事處,一無是處
一曉不通,一竅不通
一箭雙雕,一箭雙鵰
一落千仗,一落千丈
一見鐘情,一見鍾情
一視同人,一視同仁
一走了知,一走了之
一舖清袋,一鋪清袋
一頭冒水,一頭霧水
一股作氣,一鼓作氣
三間半夜,三更半夜
三顧草蘆,三顧草廬
上帝視覺,上帝視角
上崗上線,上綱上線
上鋼上線,上綱上線
不了了知,不了了之
不淪不類,不倫不類
不論不類,不倫不類
不輪不類,不倫不類
不偏不移,不偏不倚
不設實際,不切實際
不勞而穫,不勞而獲
不嫌其煩,不厭其煩
不可思異,不可思議
不可思義,不可思議
不再話下,不在話下
不堪切想,不堪設想
不外如事,不外如是
不寒而栗,不寒而慄
不節不扣,不折不扣
不服來辨,不服來辯
不知所縱,不知所終
不知所踪,不知所終
不知所為,不知所謂
不若而同,不約而同
不知量力,不自量力
不惶多讓,不遑多讓
不違餘力,不遺餘力
世外桃園,世外桃源
世界沒日,世界末日
掉人現眼,丟人現眼
中流抵柱,中流砥柱
中西合壁,中西合璧
中規中舉,中規中矩
知乎者也,之乎者也
承虛而入,乘虛而入
九唔答八,九唔搭八
狗唔搭八,九唔搭八
事與願遺,事與願違
五花百門,五花八門
五顏綠色,五顏六色
五體頭地,五體投地
井底之娃,井底之蛙
交通公具,交通工具
人知常情,人之常情
人潔地靈,人傑地靈
人去留空,人去樓空
人工授孕,人工受孕
人情細故,人情世故
人格分烈,人格分裂
人老豬黃,人老珠黃
人生安全,人身安全
人生攻擊,人身攻擊
人義道德,仁義道德
人至義盡,仁至義盡
令人發指,令人髮指
議事論事,以事論事
以暴亦暴,以暴易暴
以逸代勞,以逸待勞
任意莽為,任意妄為
似是疑非,似是而非
似層相識,似曾相識
何得何能,何德何能
例行工事,例行公事
係咁上吓,係咁上下
促膝詳談,促膝長談
保家為國,保家衞國
收成正果,修成正果
假人假義,假仁假義
做壞規舉,做壞規矩
停濟不前,停滯不前
偷扼拐騙,偷呃拐騙
偷功減料,偷工減料
謹此而已,僅此而已
憎多粥少,僧多粥少
價底者得,價低者得
價值不斐,價值不菲
憂柔寡斷,優柔寡斷
完氣大傷,元氣大傷
衝大頭鬼,充大頭鬼
兇神惡殺,兇神惡煞
先聊者賤,先撩者賤
先發製人,先發制人
先見之名,先見之明
先見知明,先見之明
入鄉隨族,入鄉隨俗
兵慌馬亂,兵荒馬亂
冇淡好食,冇啖好食
再接再勵,再接再厲
官狀病毒,冠狀病毒
冷氣軍司,冷氣軍師
兇多吉少,凶多吉少
出人投地,出人頭地
出奇不意,出其不意
出身入死,出生入死
出返淡氣,出返啖氣
出相入對,出雙入對
分身不下,分身不暇
初出茅蘆,初出茅廬
到時到後,到時到候
刻不容援,刻不容緩
前世唔收,前世唔修
前鋪後居,前舖後居
湯雞還神,劏雞還神
力爭上遊,力爭上游
功不可抹,功不可沒
公德無量,功德無量
功得無量,功德無量
勇氣可加,勇氣可嘉
免為其難,勉為其難
勝卷在握,勝券在握
世估唔到,勢估唔到
誓估唔到,勢估唔到
化為污有,化為烏有
匪疑所思,匪夷所思
匪而所思,匪夷所思
十居奇九,十居其九
千蒼百孔,千瘡百孔
千遍一律,千篇一律
千均一髮,千鈞一髮
千鈞一發,千鈞一髮
星斗市民,升斗市民
半夜三間,半夜三更
半斤百兩,半斤八兩
半買半送,半賣半送
卑弓屈膝,卑躬屈膝
完封不動,原封不動
反撲歸真,反璞歸真
反復無常,反覆無常
口同鼻嗌,口同鼻拗
另一邊相,另一邊廂
另一邊箱,另一邊廂
叮噹碼頭,叮噹馬頭
可想然知,可想而知
可想而之,可想而知
可想言知,可想而知
可見一班,可見一斑
各師其職,各司其職
各施其職,各司其職
同仇敵慨,同仇敵愾
同出一徹,同出一轍
同場加影,同場加映
同場加演,同場加映
同病相連,同病相憐
名列前矛,名列前茅
明存實亡,名存實亡
明正言順,名正言順
名流青史,名留青史
名留清史,名留青史
明符其實,名符其實
疚由自取,咎由自取
究由自取,咎由自取
唔怪知得,唔怪之得
唔掛之得,唔怪之得
唔怪得支,唔怪得之
唔怪得知,唔怪得之
唔驚唔覺,唔經唔覺
唯你事問,唯你是問
為利是圖,唯利是圖
唯我獨專,唯我獨尊
善男順女,善男信女
喊虎喊忽,喊苦喊忽
嘈怨巴閉,嘈冤巴閉
虛寒問暖,噓寒問暖
因乜解救,因乜解究
因事制宜,因時制宜
土制炸彈,土製炸彈
地大脈博,地大物博
地深吸力,地心吸力
座地起價,坐地起價
垂死爭扎,垂死掙扎
埋身肉博,埋身肉搏
基因改做,基因改造
基因特變,基因突變
默守成規,墨守成規
多多包函,多多包涵
多多包含,多多包涵
夜欄人靜,夜闌人靜
夜蘭人靜,夜闌人靜
大勢所催,大勢所趨
大同少異,大同小異
大放異采,大放異彩
大事大非,大是大非
大鑊全勝,大獲全勝
大話連編,大話連篇
大費周張,大費周章
大開殺界,大開殺戒
大開眼戒,大開眼界
天之嬌子,天之驕子
天荒夜談,天方夜談
天荒夜譚,天方夜譚
天時地理,天時地利
天生異品,天生異稟
天方地老,天荒地老
太陽能版,太陽能板
移為平地,夷為平地
奉子承婚,奉子成婚
好自為知,好自為之
如出一徹,如出一轍
餘此類推,如此類推
始作佣者,始作俑者
姦淫虜掠,姦淫擄掠
疾惡如仇,嫉惡如仇
焉然一笑,嫣然一笑
驕生慣養,嬌生慣養
字字珠機,字字珠璣
沽注一擲,孤注一擲
孤漏寡聞,孤陋寡聞
手望相助,守望相助
安落茶飯,安樂茶飯
原好無缺,完好無缺
完美主意,完美主義
完美演譯,完美演繹
完美無暇,完美無瑕
完美試範,完美示範
定時定後,定時定候
寄人離下,寄人籬下
實報實消,實報實銷
實至明歸,實至名歸
